flow: overlay.capture.warmup
title: The island reports microphone warm-up until audio is really live
fixture: capture-warmup
transitions: idle -> checkingPermissions -> recording -> cancelled -> idle
PASS 1 idle | state == idle | idle
PASS 2 idle | absent label="Dictation status" | 0 matches
PASS 3 idle | count role=AXButton exactly 0 | 0 matches
PASS 4 warming | state == recording | recording
PASS 5 warming | value label="Dictation status" == "Microphone starting" | "Microphone starting"
PASS 6 warming | absent label="Dictation status" & value="Listening" | 0 matches
PASS 7 warming | absent label="Dictation status" & value="Speaking" | 0 matches
PASS 8 warming | actions label="Dictation status" == [Finish recording, Cancel recording] | [Finish recording, Cancel recording]
PASS 9 listening | state == recording | recording
PASS 10 listening | value label="Dictation status" == "Speaking" | "Speaking"
PASS 11 listening | absent label="Dictation status" & value="Microphone starting" | 0 matches
PASS 12 listening | transitions exact [idle -> checkingPermissions -> recording] | idle -> checkingPermissions -> recording
